OBJECTID,GIS_ID,Address,GravelParking,PavedParking,TotalBaseballDiamonds,RegulationDiamond,RegulationDiamondLighted,RegulationDiamondIrrigated,PeeweeDiamond,PeeweeDiamondLighted,PeeweeDiamondIrrigated,OtherDiamonds,FullSizeSoccer,FullSizeSoccerLighted,FullSizeSoccerIrrigated,TournamentSizeSoccer,TournamentSizeSoccerLighted,TournamentSizeSoccerIrrigated,MiniSoccer,FullSizeFootball,FullSizeFootballLighted,FullSizeFootballIrrigated,ArenaName,NumberOfIcePads,TennisCourts,TennisCourtsLighted,MultiUsePads,PoolName,PoolType,NumberOfPools,WadingPools,SprayPads,PlayStructure,PlayYear,WalkingTrail,PavedPathway,TotalPathway,FullSizeBasketball,HalfSizeBasketball,SkateboardPark,Swings,SwingSets,OffLeashPark,CommunityCentre,RecreationCentre,FieldHouse,ParkCategory,OtherFacilities,RunningTrack,GolfCourse,ConcessionStand,PicnicShelter,DrinkingFountain,Benches,PicnicTable,Washroom,OutdoorRink,ParkSign,GarbageCan,Light,CampusCommunity,BoatRamp,AdultExerciseStation,SwmPond,NaturalizationProgram,CommunityGarden,YearParkAdded,Pnumber,GIS_FeatureKey,VolleyballCourts,CricketPitch,PickleballCourt,ShapeSTArea,ShapeSTLength
3392,864,1940 Frederick Cres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,1,2013,0,40,40,0,0,0,2,1,N,N,N,N,N, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2013,P-420,Frederick Park,0,0,0,4754.331299,324.9482732
3393,866,2080 Wallingford Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,311.3,311.3,0,0,0,0,0,N,N,N,N,O, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,2013,P-424,Trooper Mark Wilson SWMF,0,0,0,14528.29175,619.2422014
3394,867,2890 Devon Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,216.1,216.1,0,0,0,0,0,N,N,N,N,, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2013,P-425,Devon Park,0,0,0,3456.804443,643.6099563
3395,870,125 Pebblecreek Walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,1,2013,0,28.3,28.3,0,0,0,0,1,N,N,N,N,N, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2013,P-426,Pebblecreek Park,0,0,0,1760.580322,269.4976096
3396,872,595 Blackacres Blvd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1, , ,0,0,0,0, ,250.9,85,335.9,1,0,0,4,1,N,N,N,N,N, ,N,N,N,N,N,4,N,N,N,1,1,N,N,N,N,N,N,N,2014,P-428,Blackacres Park,0,0,0,12364.2981,482.6060003
3397,873,3350 Singleton Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,1,2014,0,368.5,368.5,0,0,0,2,1,N,N,N,N,N, ,N,N,N,N,N,5,N,N,N,Y,N,N,N,N,N,N,N,N,2014,P-429,Westbury Park,0,0,0,19942.54663,573.3142365
3398,880,6959 Raleigh Blvd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,622,935.8,1557.8,0,0,0,0,0,N,N,N,N,SW,Boardwalk,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2013,P-423,Talbot Village Wetland,0,0,0,210139.3772,3887.085993
3399,884,650 Sovereign Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,821.1,0,821.1,0,0,0,0,0,N,N,N,N,O, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N,2014,P-427,Sovereign Woods East,0,0,0,51648.63965,1169.212263
3400,896,250 Richmond St,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,0,0,0,0,0,0,0,N,N,N,N,U,Seat Walls,N,N,N,N,N,0,1,N,N,N,1,N,N,N,N,N,N,N,2013,P-430,Horton-Richmond Pocket Park,0,0,0,197.2216797,75.27266942
3401,902,1540 Stackhouse Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,926.0564,926.0564,0,0,0,0,0,N,N,N,N,O, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,Y,N, ,P-227F,Stoney Creek Valley - Central East,0,0,0,88790.59863,2316.225095
3402,903,625 Grenfell Dr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,926.0564,926.0564,0,0,0,0,0,N,N,N,N,, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,Y,N, ,P-227C,Stoney Creek Valley - Central West,0,0,0,45054.32446,2203.873625
